trip_id	household_id	person_n	trip_n	travel_mode	purpose	fueltype	faretype	bus_scale	survey_year	travel_year	travel_month	travel_date	day_of_week	start_time	age	female	driving_license	car_ownership	distance	dur_walking	dur_cycling	dur_pt_access	dur_pt_rail	dur_pt_bus	dur_pt_int	pt_interchanges	dur_driving	cost_transit	cost_driving_fuel	cost_driving_ccharge	driving_traffic_percent
20	5	1	0	4	3	1	5	0.0	1	2012	4	1	7	4.0	64	1	1	1	2199	0.598333333	0.183333333	0.381666667	0.0	0.062222222	0.0	0	0.1172222219999999	0.0	0.41	0.0	0.0971563999999999
41	9	3	0	4	3	1	5	0.0	1	2012	4	1	7	13.0	9	1	0	2	1828	0.467222222	0.144444444	0.146944444	0.0	0.225	0.0	0	0.200833333	0.0	0.48	0.0	0.378976
69	13	2	1	4	3	1	1	1.0	1	2012	4	1	7	12.0	19	0	0	1	12835	2.996944444	0.9725	0.029444444	0.083333333	0.735833333	0.398055556	3	0.716944444	6.0	2.16	0.0	0.58272
102	20	2	0	2	3	1	1	1.0	1	2012	4	1	7	10.0	30	0	1	1	6398	1.4202777780000002	0.4769444439999999	0.339722222	0.183333333	0.1166666669999999	0.2666666669999999	1	0.250833333	3.0	0.89	0.0	0.170543
105	21	0	1	4	3	1	1	1.0	1	2012	4	1	7	11.91666667	49	0	1	2	2150	0.516944444	0.1436111109999999	0.126388889	0.0	0.15	0.0	0	0.125833333	1.5	0.37	0.0	0.154525
154	31	0	4	1	5	6	1	1.0	1	2012	4	2	1	13.0	32	0	1	0	157	0.061666667	0.0608333329999999	0.042222222	0.0	0.022222222	0.0	0	0.001111111	1.5	0.0	0.0	1.25
164	33	0	1	3	5	6	1	1.0	1	2012	4	2	1	12.0	31	1	0	0	5410	1.279166667	0.408611111	0.131111111	0.2	0.0	0.083333333	1	0.433611111	1.5	1.14	0.0	0.376682
180	40	0	0	4	3	1	1	1.0	1	2012	4	2	1	18.25	55	1	1	1	12627	3.272777778	1.000833333	0.305555556	0.816666667	0.0	0.1	1	0.3988888889999999	3.9	1.79	0.0	0.522981
185	41	0	3	3	3	1	5	0.0	1	2012	4	3	2	16.75	62	1	1	2	2392	0.591944444	0.181388889	0.049166667	0.0	0.1875	0.0	0	0.176388889	0.0	0.48	0.0	0.179528
190	41	0	8	4	3	1	5	0.0	1	2012	4	3	2	23.16666667	62	1	1	2	7057	1.729722222	0.548055556	0.156111111	0.0	0.470277778	0.2	1	0.279166667	0.0	1.09	0.0	0.1034829999999999
194	42	1	1	4	4	2	1	1.0	1	2012	4	3	2	11.5	46	1	1	2	3479	0.825555556	0.228333333	0.160555556	0.0	0.332777778	0.0	0	0.2069444439999999	1.5	0.57	0.0	0.288591
232	49	0	1	3	1	6	1	1.0	1	2012	4	3	2	10.0	50	0	0	0	3763	0.940277778	0.2775	0.122777778	0.0	0.381666667	0.0	0	0.236666667	1.5	0.67	0.0	0.335681
235	49	2	0	1	1	6	1	1.0	1	2012	4	3	2	7.5	22	1	1	0	1315	0.420555556	0.133055556	0.108055556	0.0	0.1166666669999999	0.0	0	0.111111111	1.5	0.29	0.0	0.3825
251	53	0	1	1	3	6	5	0.0	1	2012	4	3	2	14.16666667	43	1	0	0	1608	0.4158333329999999	0.1166666669999999	0.059722222	0.016666667	0.1066666669999999	0.083333333	1	0.123055556	0.0	0.31	0.0	0.209932
284	64	2	0	1	3	1	1	1.0	1	2012	4	4	3	18.75	19	0	0	1	514	0.194444444	0.066111111	0.1225	0.0	0.041666667	0.0	0	0.089444444	1.5	0.2	0.0	0.3291929999999999
295	67	1	1	3	1	6	1	1.0	1	2012	4	5	4	17.0	23	1	0	0	9240	2.133611111	0.6083333329999999	0.166666667	0.333333333	0.0	0.2166666669999999	2	0.744722222	2.4	1.59	0.0	0.625513
348	81	2	0	4	3	1	3	0.0	1	2012	4	6	5	16.75	13	1	0	2	3197	0.814444444	0.221111111	0.051944444	0.0	0.454166667	0.106111111	1	0.293888889	0.0	0.83	0.0	0.6361060000000001
360	84	0	1	1	5	6	1	1.0	1	2012	4	7	6	11.0	49	1	0	0	423	0.143888889	0.0358333329999999	0.0891666669999999	0.0	0.014722222	0.0	0	0.087777778	1.5	0.18	0.0	0.056962
401	95	0	4	1	5	1	1	1.0	1	2012	4	8	7	15.0	26	0	1	1	1333	0.325277778	0.128333333	0.130833333	0.033333333	0.0	0.0	0	0.167222222	2.4	0.34	0.0	0.4867109999999999
407	95	1	2	3	5	1	1	1.0	1	2012	4	8	7	12.0	25	1	1	1	1752	0.431388889	0.17	0.2419444439999999	0.066666667	0.0	0.0	0	0.1913888889999999	2.4	0.39	0.0	0.181422
415	96	3	0	4	3	2	2	0.0	1	2012	4	8	7	12.0	16	0	0	1	9272	2.203055556	0.628888889	0.083333333	0.183333333	0.476388889	0.15	1	0.4769444439999999	1.15	1.29	0.0	0.287129
416	96	4	0	4	3	2	3	0.0	1	2012	4	8	7	12.0	11	1	0	1	9272	2.203055556	0.628888889	0.083333333	0.183333333	0.476388889	0.15	1	0.4769444439999999	0.75	1.29	0.0	0.287129
